Player_Name,Deliveries_bowled,runs_conceded,wickets_taken,overs,bowling_average,bowling_strike_rate,economy,Recommendation
A Zampa,1248,1566,63,208,24.86,19.81,7.53,BUY
AC Agar,961,1118,36,160,31.06,26.69,6.99,MAYBE
AD Russell,184,283,7,30,40.43,26.29,9.43,MAYBE
ADS Fletcher,6,9,0,1,48.44,39.12,9.0,DON'T BUY
AF Milne,342,435,8,57,54.38,42.75,7.63,DON'T BUY
AJ Finch,6,10,0,1,48.44,39.12,10.0,DON'T BUY
AJ Hosein,351,400,19,58,21.05,18.47,6.9,BUY
AJ Nair,24,27,1,4,27.0,24.0,6.75,MAYBE
AJ Turner,175,230,5,29,46.0,35.0,7.93,DON'T BUY
AJ Tye,1411,1919,89,235,21.56,15.85,8.17,BUY
AM Hardie,512,681,24,85,28.38,21.33,8.01,BUY
Ahmed Daniyal,64,91,3,10,30.33,21.33,9.1,MAYBE
B Doggett,489,639,23,81,27.78,21.26,7.89,BUY
B Laughlin,178,260,1,29,260.0,178.0,8.97,DON'T BUY
B Stanlake,401,561,19,66,29.53,21.11,8.5,MAYBE
BAC Howell,30,36,0,5,48.44,39.12,7.2,DON'T BUY
BAD Manenti,276,373,9,46,41.44,30.67,8.11,DON'T BUY
BCJ Cutting,309,415,8,51,51.88,38.62,8.14,DON'T BUY
BJ Dwarshuis,1331,1818,87,221,20.9,15.3,8.23,BUY
BJ Webster,487,589,19,81,31.0,25.63,7.27,MAYBE
BL Couch,333,465,19,55,24.47,17.53,8.45,MAYBE
C Connolly,227,275,12,37,22.92,18.92,7.43,MAYBE
C Kellaway,13,21,0,2,48.44,39.12,10.5,DON'T BUY
C Stow,48,62,3,8,20.67,16.0,7.75,BUY
C Valente,24,36,1,4,36.0,24.0,9.0,MAYBE
C de Grandhomme,160,229,5,26,45.8,32.0,8.81,MAYBE
CD Hinchliffe,192,262,10,32,26.2,19.2,8.19,MAYBE
CJ Anderson,53,54,2,8,27.0,26.5,6.75,MAYBE
CJ Boyce,624,742,34,104,21.82,18.35,7.13,MAYBE
CJ Gannon,92,131,4,15,32.75,23.0,8.73,MAYBE
CJ Green,1246,1484,50,207,29.68,24.92,7.17,MAYBE
CJ Jordan,614,874,23,102,38.0,26.7,8.57,MAYBE
CJ Rocchiccioli,111,156,6,18,26.0,18.5,8.67,MAYBE
CP Tremain,50,84,3,8,28.0,16.67,10.5,MAYBE
CR Brathwaite,299,394,16,49,24.62,18.69,8.04,BUY
D Warren,56,81,2,9,40.5,28.0,9.0,MAYBE
DA Payne,342,488,22,57,22.18,15.55,8.56,MAYBE
DJ Worrall,342,415,15,57,27.67,22.8,7.28,MAYBE
DJM Moody,80,102,4,13,25.5,20.0,7.85,BUY
DJM Short,485,671,19,80,35.32,25.53,8.39,MAYBE
DMK Grant,48,49,3,8,16.33,16.0,6.12,MAYBE
DR Briggs,278,347,11,46,31.55,25.27,7.54,MAYBE
DR Sams,1116,1573,64,186,24.58,17.44,8.46,BUY
DT Christian,560,750,27,93,27.78,20.74,8.06,BUY
DW Lawrence,81,109,7,13,15.57,11.57,8.38,MAYBE
Dilbar Hussain,37,36,3,6,12.0,12.33,6.0,MAYBE
F O'Neill,208,241,10,34,24.1,20.8,7.09,BUY
FA Allen,12,10,1,2,10.0,12.0,5.0,MAYBE
Faheem Ashraf,203,266,7,33,38.0,29.0,8.06,DON'T BUY
Fawad Ahmed,758,951,30,126,31.7,25.27,7.55,MAYBE
Fazalhaq Farooqi,99,97,5,16,19.4,19.8,6.06,MAYBE
GHS Garton,168,275,9,28,30.56,18.67,9.82,MAYBE
GJ Maxwell,480,629,19,80,33.11,25.26,7.86,BUY
GS Sandhu,546,698,35,91,19.94,15.6,7.67,MAYBE
H Kerr,905,1271,54,150,23.54,16.76,8.47,BUY
H McKenzie,109,139,3,18,46.33,36.33,7.72,DON'T BUY
HNA Conway,391,553,15,65,36.87,26.07,8.51,MAYBE
HTRY Thornton,673,956,48,112,19.92,14.02,8.54,BUY
HWR Cartwright,46,102,2,7,51.0,23.0,14.57,DON'T BUY
Haris Rauf,234,333,16,39,20.81,14.62,8.54,MAYBE
Hassan Khan,19,27,1,3,27.0,19.0,9.0,MAYBE
Imad Wasim,380,473,14,63,33.79,27.14,7.51,MAYBE
Izharulhaq Naveed,215,260,9,35,28.89,23.89,7.43,MAYBE
J Botha,66,87,3,11,29.0,22.0,7.91,BUY
J Edwards,419,539,19,69,28.37,22.05,7.81,BUY
J Fraser-McGurk,6,10,0,1,48.44,39.12,10.0,DON'T BUY
J Kann,30,77,1,5,77.0,30.0,15.4,DON'T BUY
J Merlo,19,21,0,3,48.44,39.12,7.0,DON'T BUY
J Overton,417,589,27,69,21.81,15.44,8.54,MAYBE
J Seymour,30,28,0,5,48.44,39.12,5.6,DON'T BUY
JA Chohan,73,80,3,12,26.67,24.33,6.67,MAYBE
JA Davies,93,128,1,15,128.0,93.0,8.53,DON'T BUY
JA Prestwidge,241,315,8,40,39.38,30.12,7.88,DON'T BUY
JA Richardson,891,1139,62,148,18.37,14.37,7.7,BUY
JA Thompson,120,175,8,20,21.88,15.0,8.75,MAYBE
JD Cook,56,89,3,9,29.67,18.67,9.89,MAYBE
JD Wildermuth,322,391,15,53,26.07,21.47,7.38,MAYBE
JDS Neesham,31,49,1,5,49.0,31.0,9.8,DON'T BUY
JG Bethell,69,77,4,11,19.25,17.25,7.0,BUY
JJ Bazley,717,1031,33,119,31.24,21.73,8.66,BUY
JJS Sangha,83,119,5,13,23.8,16.6,9.15,MAYBE
JK Lalor,279,456,11,46,41.45,25.36,9.91,MAYBE
JL Denly,18,23,0,3,48.44,39.12,7.67,DON'T BUY
JL Pattinson,119,171,3,19,57.0,39.67,9.0,DON'T BUY
JM Bird,606,737,35,101,21.06,17.31,7.3,MAYBE
JM Holland,12,20,0,2,48.44,39.12,10.0,DON'T BUY
JO Holder,60,83,2,10,41.5,30.0,8.3,DON'T BUY
JP Behrendorff,1369,1636,86,228,19.02,15.92,7.18,BUY
JP Faulkner,111,134,8,18,16.75,13.88,7.44,BUY
JP Wood,24,41,2,4,20.5,12.0,10.25,MAYBE
JS Buckingham,63,97,2,10,48.5,31.5,9.7,DON'T BUY
JS Paris,546,754,27,91,27.93,20.22,8.29,BUY
JT Ball,153,272,9,25,30.22,17.0,10.88,MAYBE
JW Wells,6,11,0,1,48.44,39.12,11.0,DON'T BUY
Josh Brown,17,48,0,2,48.44,39.12,24.0,DON'T BUY
KMA Paul,33,69,1,5,69.0,33.0,13.8,DON'T BUY
KW Richardson,1027,1341,58,171,23.12,17.71,7.84,BUY
L Gregory,170,276,7,28,39.43,24.29,9.86,MAYBE
L Guthrie,143,209,6,23,34.83,23.83,9.09,MAYBE
L Haskett,31,78,2,5,39.0,15.5,15.6,DON'T BUY
L Pope,521,742,35,86,21.2,14.89,8.63,MAYBE
L Scott,67,127,2,11,63.5,33.5,11.55,DON'T BUY
L Wood,329,482,20,54,24.1,16.45,8.93,MAYBE
LA Dawson,61,90,2,10,45.0,30.5,9.0,MAYBE
LC Hatcher,534,735,27,89,27.22,19.78,8.26,BUY
LH Ferguson,152,178,8,25,22.25,19.0,7.12,BUY
LN O'Connor,91,101,2,15,50.5,45.5,6.73,DON'T BUY
LR Morris,635,813,39,105,20.85,16.28,7.74,MAYBE
LS Livingstone,60,85,5,10,17.0,12.0,8.5,MAYBE
M Bean,52,79,2,8,39.5,26.0,9.88,MAYBE
M Beardman,30,36,3,5,12.0,10.0,7.2,BUY
M Kelly,404,524,28,67,18.71,14.43,7.82,MAYBE
M Labuschagne,131,196,11,21,17.82,11.91,9.33,MAYBE
M Morkel,130,179,5,21,35.8,26.0,8.52,MAYBE
M Perry,48,88,3,8,29.33,16.0,11.0,MAYBE
M Spoors,37,62,1,6,62.0,37.0,10.33,DON'T BUY
MC Henriques,60,80,4,10,20.0,15.0,8.0,BUY
MG Neser,787,1092,50,131,21.84,15.74,8.34,BUY
MJ Owen,188,283,6,31,47.17,31.33,9.13,MAYBE
MJ Swepson,910,1151,33,151,34.88,27.58,7.62,MAYBE
MJJ Critchley,48,75,2,8,37.5,24.0,9.38,MAYBE
MP Kuhnemann,977,1230,42,162,29.29,23.26,7.59,MAYBE
MP Stoinis,329,479,10,54,47.9,32.9,8.87,MAYBE
MR Marsh,161,209,9,26,23.22,17.89,8.04,BUY
MT Renshaw,116,157,3,19,52.33,38.67,8.26,DON'T BUY
MT Steketee,886,1307,62,147,21.08,14.29,8.89,BUY
MW Edwards,13,19,1,2,19.0,13.0,9.5,MAYBE
MW Short,752,931,30,125,31.03,25.07,7.45,MAYBE
Mohammad Hasnain,154,186,8,25,23.25,19.25,7.44,BUY
Mohammad Nabi,186,251,7,31,35.86,26.57,8.1,DON'T BUY
Mujeeb Ur Rahman,806,882,37,134,23.84,21.78,6.58,MAYBE
N McAndrew,1115,1602,54,185,29.67,20.65,8.66,BUY
NA McSweeney,54,61,5,9,12.2,10.8,6.78,BUY
NJ Maddinson,145,180,10,24,18.0,14.5,7.5,BUY
NM Coulter-Nile,634,769,39,105,19.72,16.26,7.32,MAYBE
NM Lyon,97,140,3,16,46.67,32.33,8.75,MAYBE
NP Winter,46,58,0,7,48.44,39.12,8.29,DON'T BUY
NT Ellis,1332,1770,74,222,23.92,18.0,7.97,BUY
Naveen-ul-Haq,47,70,2,7,35.0,23.5,10.0,MAYBE
Nikhil Chaudhary,244,309,9,40,34.33,27.11,7.72,MAYBE
Noor Ahmad,140,187,2,23,93.5,70.0,8.13,DON'T BUY
O Davies,26,33,0,4,48.44,39.12,8.25,DON'T BUY
OP Stone,27,41,0,4,48.44,39.12,10.25,DON'T BUY
P Hatzoglou,997,1261,41,166,30.76,24.32,7.6,MAYBE
PG Dooley,443,548,25,73,21.92,17.72,7.51,BUY
PI Walter,324,476,21,54,22.67,15.43,8.81,MAYBE
PM Siddle,1165,1555,70,194,22.21,16.64,8.02,BUY
Qais Ahmad,240,280,13,40,21.54,18.46,7.0,BUY
RA Whiteley,66,76,3,11,25.33,22.0,6.91,MAYBE
RH McDonald,13,21,1,2,21.0,13.0,10.5,MAYBE
RJ Gibson,6,10,0,1,48.44,39.12,10.0,DON'T BUY
RJW Topley,165,232,9,27,25.78,18.33,8.59,MAYBE
RP Kellepotha,60,75,3,10,25.0,20.0,7.5,BUY
RP Meredith,1311,1769,76,218,23.28,17.25,8.11,BUY
RR Pawson,13,32,0,2,48.44,39.12,16.0,DON'T BUY
Rashid Khan,670,737,42,111,17.55,15.95,6.64,MAYBE
S Lamichhane,518,670,22,86,30.45,23.55,7.79,BUY
S Mahmood,144,212,13,24,16.31,11.08,8.83,MAYBE
S McGiffin,13,23,0,2,48.44,39.12,11.5,DON'T BUY
SA Abbott,1046,1451,76,174,19.09,13.76,8.34,BUY
SD Heazlett,6,15,0,1,48.44,39.12,15.0,DON'T BUY
SE Rutherford,7,22,0,1,48.44,39.12,22.0,DON'T BUY
SH Johnson,656,829,41,109,20.22,16.0,7.61,MAYBE
SL Rainbird,225,321,8,37,40.12,28.12,8.68,MAYBE
SM Boland,445,621,22,74,28.23,20.23,8.39,MAYBE
SM Elliott,43,62,0,7,48.44,39.12,8.86,DON'T BUY
SNJ O'Keefe,913,994,51,152,19.49,17.9,6.54,MAYBE
Shadab Khan,169,218,8,28,27.25,21.12,7.79,MAYBE
Syed Faridoun,25,37,0,4,48.44,39.12,9.25,DON'T BUY
T Murphy,397,429,19,66,22.58,20.89,6.5,BUY
T Sangha,874,1040,53,145,19.62,16.49,7.17,BUY
T Whitney,38,56,2,6,28.0,19.0,9.33,MAYBE
TA Boult,191,254,8,31,31.75,23.88,8.19,MAYBE
TA Lammonby,6,11,0,1,48.44,39.12,11.0,DON'T BUY
TD Andrews,244,304,11,40,27.64,22.18,7.6,MAYBE
TH David,283,392,4,47,98.0,70.75,8.34,DON'T BUY
TK Curran,279,390,14,46,27.86,19.93,8.48,MAYBE
TL O'Connell,56,76,4,9,19.0,14.0,8.44,MAYBE
TLW Cooper,6,16,0,1,48.44,39.12,16.0,DON'T BUY
TM Head,50,58,1,8,58.0,50.0,7.25,DON'T BUY
TS Mills,165,193,12,27,16.08,13.75,7.15,BUY
TS Rogers,1063,1451,67,177,21.66,15.87,8.2,BUY
TW Gray,12,18,1,2,18.0,12.0,9.0,MAYBE
Usama Mir,283,348,16,47,21.75,17.69,7.4,BUY
Usman Qadir,233,328,10,38,32.8,23.3,8.63,MAYBE
W Parker,112,189,1,18,189.0,112.0,10.5,DON'T BUY
W Prestwidge,95,151,6,15,25.17,15.83,10.07,MAYBE
W Sanders,13,27,0,2,48.44,39.12,13.5,DON'T BUY
W Sutherland,866,1249,32,144,39.03,27.06,8.67,MAYBE
WA Agar,992,1467,61,165,24.05,16.26,8.89,BUY
WG Jacks,24,35,1,4,35.0,24.0,8.75,MAYBE
Waqar Salamkheil,66,105,6,11,17.5,11.0,9.55,MAYBE
XA Crone,30,51,0,5,48.44,39.12,10.2,DON'T BUY
XC Bartlett,997,1383,60,166,23.05,16.62,8.33,BUY
Z Evans,159,268,13,26,20.62,12.23,10.31,MAYBE
Zahir Khan,492,620,18,82,34.44,27.33,7.56,MAYBE
Zaman Khan,96,136,8,16,17.0,12.0,8.5,MAYBE
